dataset_id;source_kind;source_path_or_url;local_path_if_any;file_name;file_role;file_size_bytes;date_accessed_or_checked;used_for_conversion;notes
ecosis_cabo_2018_2019_leaf_level_spectra_transmittance_nirs;ecosis_ckan_resource;https://data.ecosis.org/dataset/ea491252-9e29-4a95-b83a-22093a11908a/resource/95b02cbf-5c01-4a39-b864-476bc084c414/download/metadata_fields.csv;D:\VS projects\nirs_db_vf\ecosis_nirs_conversion\raw\cabo_2018_2019_leaf_level_spectra_dd4f6e14\metadata_fields.csv;metadata_fields.csv;metadata_or_auxiliary;1688;2026-06-02T15:31:55;no;
ecosis_cabo_2018_2019_leaf_level_spectra_transmittance_nirs;ecosis_ckan_resource;https://data.ecosis.org/dataset/ea491252-9e29-4a95-b83a-22093a11908a/resource/33aec64d-bb0c-42c2-a5e2-bb733f8ce721/download/trans_spec.csv;D:\VS projects\nirs_db_vf\ecosis_nirs_conversion\raw\cabo_2018_2019_leaf_level_spectra_dd4f6e14\trans_spec.csv;trans_spec.csv;used_for_conversion;72339857;2026-06-02T15:31:55;yes;
ecosis_cabo_2018_2019_leaf_level_spectra_transmittance_nirs;ecosis_ckan_resource;https://data.ecosis.org/dataset/ea491252-9e29-4a95-b83a-22093a11908a/resource/6504ef16-dccb-4e8c-8135-ba677908dca1/download/ref_spec.csv;D:\VS projects\nirs_db_vf\ecosis_nirs_conversion\raw\cabo_2018_2019_leaf_level_spectra_dd4f6e14\ref_spec.csv;ref_spec.csv;metadata_or_auxiliary;72759793;2026-06-02T15:31:55;no;
ecosis_cabo_2018_2019_leaf_level_spectra_transmittance_nirs;ecosis_ckan_resource;https://data.ecosis.org/dataset/ea491252-9e29-4a95-b83a-22093a11908a/resource/45eb2727-d77c-454c-bf15-fcbe822dc82a/download/abs_spec.csv;D:\VS projects\nirs_db_vf\ecosis_nirs_conversion\raw\cabo_2018_2019_leaf_level_spectra_dd4f6e14\abs_spec.csv;abs_spec.csv;metadata_or_auxiliary;71481445;2026-06-02T15:31:55;no;
ecosis_cabo_2018_2019_leaf_level_spectra_transmittance_nirs;ecosis_ckan_resource;https://data.ecosis.org/dataset/ea491252-9e29-4a95-b83a-22093a11908a/resource/d6fd38b1-d6b8-43b9-a3e1-eac1060a5871/download/readme.pdf;;README.pdf;metadata_or_auxiliary;;2026-06-02T15:31:55;no;
