dataset_id;source_kind;source_path_or_url;local_path_if_any;file_name;file_role;file_size_bytes;date_accessed_or_checked;used_for_conversion;notes
ecosis_2019_plosone_wheat_hessian_fly_ms_reflectance_nirs;ecosis_ckan_resource;https://data.ecosis.org/dataset/fb063a32-3a63-4311-954e-c167a2c5444f/resource/459952e3-c004-4433-9c65-63a6f4892005/download/lma_data.csv;D:\VS projects\nirs_db_vf\ecosis_nirs_conversion\raw\2019_plosone_wheat_hessian_fly_ms_a8ece5f1\lma_data.csv;LMA_data.csv;metadata_or_auxiliary;5544675;2026-06-02T15:31:00;no;
ecosis_2019_plosone_wheat_hessian_fly_ms_reflectance_nirs;ecosis_ckan_resource;https://data.ecosis.org/dataset/fb063a32-3a63-4311-954e-c167a2c5444f/resource/8d50eedd-4a73-45a2-9cb2-2bfa8e33638c/download/phenols_data.csv;D:\VS projects\nirs_db_vf\ecosis_nirs_conversion\raw\2019_plosone_wheat_hessian_fly_ms_a8ece5f1\phenols_data.csv;Phenols_data.csv;metadata_or_auxiliary;1365816;2026-06-02T15:31:00;no;
ecosis_2019_plosone_wheat_hessian_fly_ms_reflectance_nirs;ecosis_ckan_resource;https://data.ecosis.org/dataset/fb063a32-3a63-4311-954e-c167a2c5444f/resource/03ed9c21-3120-455c-acb4-53711b2eb381/download/c_n_data.csv;D:\VS projects\nirs_db_vf\ecosis_nirs_conversion\raw\2019_plosone_wheat_hessian_fly_ms_a8ece5f1\c_n_data.csv;C_N_data.csv;used_for_conversion;1330275;2026-06-02T15:31:00;yes;
ecosis_2019_plosone_wheat_hessian_fly_ms_reflectance_nirs;ecosis_ckan_resource;https://data.ecosis.org/dataset/fb063a32-3a63-4311-954e-c167a2c5444f/resource/77787120-3c7d-48bd-be7c-712b36d0e95b/download/fly_gt_performance.xlsx;;fly_gt_performance.xlsx;metadata_or_auxiliary;;2026-06-02T15:31:00;no;
ecosis_2019_plosone_wheat_hessian_fly_ms_reflectance_nirs;ecosis_ckan_resource;https://data.ecosis.org/dataset/fb063a32-3a63-4311-954e-c167a2c5444f/resource/b0f8f822-34f4-4bdd-953a-4534207b8fea/download/camposmedina_etal_data_plosone_2019.csv;D:\VS projects\nirs_db_vf\ecosis_nirs_conversion\raw\2019_plosone_wheat_hessian_fly_ms_a8ece5f1\camposmedina_etal_data_plosone_2019.csv;CamposMedina_etal_data_PlosONE_2019.csv;metadata_or_auxiliary;25642;2026-06-02T15:31:00;no;
