dataset_id;source_kind;source_path_or_url;local_path_if_any;file_name;file_role;file_size_bytes;date_accessed_or_checked;used_for_conversion;notes
ecosis_leaf_reflectance_and_traits_of_plants_sampled_along_a_w_reflectance_nirs;ecosis_ckan_resource;https://data.ecosis.org/dataset/14968753-ef36-4c91-99d6-fc355340f455/resource/9dc85ee2-8596-4b62-bce3-be02224028e6/download/leaf_spectra.csv;D:\VS projects\nirs_db_vf\ecosis_nirs_conversion\raw\leaf_reflectance_and_traits_of_plants_sampled_al_038b7195\leaf_spectra.csv;leaf_spectra.csv;used_for_conversion;3564147;2026-06-02T15:37:02;yes;
ecosis_leaf_reflectance_and_traits_of_plants_sampled_along_a_w_reflectance_nirs;ecosis_ckan_resource;https://data.ecosis.org/dataset/14968753-ef36-4c91-99d6-fc355340f455/resource/485d3118-4473-4ffb-8a98-88381499b684/download/leaf_traits.csv;D:\VS projects\nirs_db_vf\ecosis_nirs_conversion\raw\leaf_reflectance_and_traits_of_plants_sampled_al_038b7195\leaf_traits.csv;leaf_traits.csv;metadata_or_auxiliary;18392;2026-06-02T15:37:02;no;
ecosis_leaf_reflectance_and_traits_of_plants_sampled_along_a_w_reflectance_nirs;ecosis_ckan_resource;https://data.ecosis.org/dataset/14968753-ef36-4c91-99d6-fc355340f455/resource/796ae3cb-61b3-4180-bbf4-98b97c8ed889/download/data_description.txt;;data_description.txt;metadata_or_auxiliary;3180;2026-06-02T15:37:02;no;
