raw_source_id;source_type;path_or_url;official_url;api_url;used_for;is_standardized_xym
flanagan_spectra_csv;raw_spectra_csv;D:\VS projects\flanagan_raman_database\input_data\raw\raman_spectra_api_compounds.csv;https://doi.org/10.6084/m9.figshare.27931131;https://api.figshare.com/v2/articles/27931131;X spectra and source labels;False
flanagan_product_information;raw_metadata_xlsx;D:\VS projects\flanagan_raman_database\input_data\raw\API_Product_Information.xlsx;https://doi.org/10.6084/m9.figshare.27931131;https://api.figshare.com/v2/articles/27931131;Y variables and M metadata;False
