dataset_id;source_kind;source_path_or_url;local_path_if_any;file_name;file_role;file_size_bytes;date_accessed_or_checked;used_for_conversion;notes
ecosis_freeze_dried_leaf_spectra_and_measured_traits_from_the_reflectance_nirs;ecosis_ckan_resource;https://data.ecosis.org/dataset/cd421eda-ed75-409a-99ae-a2385515c2ed/resource/33d4f97e-591c-4e6f-a913-f8f6465fa735/download/ca2023_freezedried_dryspectra.csv;D:\VS projects\nirs_db_vf\ecosis_nirs_conversion\raw\freeze_dried_leaf_spectra_and_measured_traits_fr_b3e12859\ca2023_freezedried_dryspectra.csv;CA2023_freezedried_dryspectra.csv;used_for_conversion;12612489;2026-06-02T15:34:28;yes;
ecosis_freeze_dried_leaf_spectra_and_measured_traits_from_the_reflectance_nirs;ecosis_ckan_resource;https://data.ecosis.org/dataset/cd421eda-ed75-409a-99ae-a2385515c2ed/resource/e4496bf4-1517-4c1a-b854-e316dfdd1b54/download/ca2023_freezedrieddryspectra_supplementaldata.csv;D:\VS projects\nirs_db_vf\ecosis_nirs_conversion\raw\freeze_dried_leaf_spectra_and_measured_traits_fr_b3e12859\ca2023_freezedrieddryspectra_supplementaldata.csv;CA2023_freezedrieddryspectra_supplementaldata.csv;metadata_or_auxiliary;13623;2026-06-02T15:34:28;no;
ecosis_freeze_dried_leaf_spectra_and_measured_traits_from_the_reflectance_nirs;ecosis_ckan_resource;https://data.ecosis.org/dataset/cd421eda-ed75-409a-99ae-a2385515c2ed/resource/f0418260-c9f1-48f3-bef0-b8af248d8bc7/download/readme.md;;README.md;metadata_or_auxiliary;2717;2026-06-02T15:34:28;no;
