dataset_id;source_kind;source_path_or_url;local_path_if_any;file_name;file_role;file_size_bytes;date_accessed_or_checked;used_for_conversion;notes
ecosis_oven_dried_leaf_spectra_and_measured_traits_from_the_si_reflectance_nirs;ecosis_ckan_resource;https://data.ecosis.org/dataset/c4d146b6-a9ed-497a-99af-606d2e24d4d4/resource/132d4f67-b37d-4211-b685-5adea4527c75/download/ca2023_ovendried_dryspectra.csv;D:\VS projects\nirs_db_vf\ecosis_nirs_conversion\raw\oven_dried_leaf_spectra_and_measured_traits_from_0977e4bb\ca2023_ovendried_dryspectra.csv;CA2023_ovendried_dryspectra.csv;used_for_conversion;12765383;2026-06-02T15:47:37;yes;
ecosis_oven_dried_leaf_spectra_and_measured_traits_from_the_si_reflectance_nirs;ecosis_ckan_resource;https://data.ecosis.org/dataset/c4d146b6-a9ed-497a-99af-606d2e24d4d4/resource/5b879bbb-618c-4787-955c-25482917b589/download/ca2023_ovendrieddryspectra_supplementaldata.csv;D:\VS projects\nirs_db_vf\ecosis_nirs_conversion\raw\oven_dried_leaf_spectra_and_measured_traits_from_0977e4bb\ca2023_ovendrieddryspectra_supplementaldata.csv;CA2023_ovendrieddryspectra_supplementaldata.csv;metadata_or_auxiliary;13623;2026-06-02T15:47:37;no;
ecosis_oven_dried_leaf_spectra_and_measured_traits_from_the_si_reflectance_nirs;ecosis_ckan_resource;https://data.ecosis.org/dataset/c4d146b6-a9ed-497a-99af-606d2e24d4d4/resource/a402f32f-f251-42dd-ba9e-c808ce4828da/download/readme.md;;README.md;metadata_or_auxiliary;2679;2026-06-02T15:47:37;no;
