dataset_id;source_kind;source_path_or_url;local_path_if_any;file_name;file_role;file_size_bytes;date_accessed_or_checked;used_for_conversion;notes
ecosis_fresh_leaf_spectra_to_estimate_leaf_morphology_and_bioc_reflectance_nirs;ecosis_ckan_resource;https://data.ecosis.org/dataset/4a63d7ed-4c1e-40a7-8c88-ea0deea10072/resource/8b29bf0c-bf95-4093-a03d-f92d6818d8c9/download/fftadf.xlsx;;FFT_ADF.xlsx;metadata_or_auxiliary;;2026-06-02T15:35:14;no;
ecosis_fresh_leaf_spectra_to_estimate_leaf_morphology_and_bioc_reflectance_nirs;ecosis_ckan_resource;https://data.ecosis.org/dataset/4a63d7ed-4c1e-40a7-8c88-ea0deea10072/resource/9802e2dc-8a61-40d9-bec8-0ad7142112ad/download/fftadl.xlsx;;FFT_ADL.xlsx;metadata_or_auxiliary;;2026-06-02T15:35:14;no;
ecosis_fresh_leaf_spectra_to_estimate_leaf_morphology_and_bioc_reflectance_nirs;ecosis_ckan_resource;https://data.ecosis.org/dataset/4a63d7ed-4c1e-40a7-8c88-ea0deea10072/resource/b0a331cc-838d-4114-8e3d-7075ad1a99e5/download/fftcarbon.xlsx;D:\VS projects\nirs_db_vf\ecosis_nirs_conversion\raw\fresh_leaf_spectra_to_estimate_leaf_morphology_a_9b5065a5\fftcarbon.xlsx;FFT_Carbon.xlsx;metadata_or_auxiliary;52510;2026-06-02T15:35:14;no;
ecosis_fresh_leaf_spectra_to_estimate_leaf_morphology_and_bioc_reflectance_nirs;ecosis_ckan_resource;https://data.ecosis.org/dataset/4a63d7ed-4c1e-40a7-8c88-ea0deea10072/resource/a39155f6-962d-4d61-a747-226f9143be08/download/fftcellulose.xlsx;;FFT_Cellulose.xlsx;metadata_or_auxiliary;;2026-06-02T15:35:14;no;
ecosis_fresh_leaf_spectra_to_estimate_leaf_morphology_and_bioc_reflectance_nirs;ecosis_ckan_resource;https://data.ecosis.org/dataset/4a63d7ed-4c1e-40a7-8c88-ea0deea10072/resource/1bd7ce55-2eeb-4ec8-895f-5ba128676972/download/fftd15n.xlsx;;FFT_d15N.xlsx;metadata_or_auxiliary;;2026-06-02T15:35:14;no;
ecosis_fresh_leaf_spectra_to_estimate_leaf_morphology_and_bioc_reflectance_nirs;ecosis_ckan_resource;https://data.ecosis.org/dataset/4a63d7ed-4c1e-40a7-8c88-ea0deea10072/resource/098258fd-f605-405c-a46f-69e4a8c003c6/download/fftfreshmetadata.xlsx;D:\VS projects\nirs_db_vf\ecosis_nirs_conversion\raw\fresh_leaf_spectra_to_estimate_leaf_morphology_a_9b5065a5\fftfreshmetadata.xlsx;FFT_Fresh_metadata.xlsx;metadata_or_auxiliary;101912;2026-06-02T15:35:14;no;
ecosis_fresh_leaf_spectra_to_estimate_leaf_morphology_and_bioc_reflectance_nirs;ecosis_ckan_resource;https://data.ecosis.org/dataset/4a63d7ed-4c1e-40a7-8c88-ea0deea10072/resource/1f0c7ae2-5fa4-49c3-b259-1f90ed8140f4/download/fftfreshspectrav2.csv;D:\VS projects\nirs_db_vf\ecosis_nirs_conversion\raw\fresh_leaf_spectra_to_estimate_leaf_morphology_a_9b5065a5\fftfreshspectrav2.csv;FFT_Fresh_Spectra_v2.csv;used_for_conversion;61043389;2026-06-02T15:35:14;yes;
ecosis_fresh_leaf_spectra_to_estimate_leaf_morphology_and_bioc_reflectance_nirs;ecosis_ckan_resource;https://data.ecosis.org/dataset/4a63d7ed-4c1e-40a7-8c88-ea0deea10072/resource/687da2e9-ebdd-4934-841f-4437a23b6d4c/download/fftlma.xlsx;D:\VS projects\nirs_db_vf\ecosis_nirs_conversion\raw\fresh_leaf_spectra_to_estimate_leaf_morphology_a_9b5065a5\fftlma.xlsx;FFT_LMA.xlsx;metadata_or_auxiliary;66508;2026-06-02T15:35:14;no;
ecosis_fresh_leaf_spectra_to_estimate_leaf_morphology_and_bioc_reflectance_nirs;ecosis_ckan_resource;https://data.ecosis.org/dataset/4a63d7ed-4c1e-40a7-8c88-ea0deea10072/resource/c83776b8-623d-4297-a6bc-22ca9e2e5466/download/fftnitrogen.xlsx;D:\VS projects\nirs_db_vf\ecosis_nirs_conversion\raw\fresh_leaf_spectra_to_estimate_leaf_morphology_a_9b5065a5\fftnitrogen.xlsx;FFT_Nitrogen.xlsx;metadata_or_auxiliary;51046;2026-06-02T15:35:14;no;
